Node ID,LAT,LON
498,29.732651,-95.386734
499,29.644138,-95.576277
500,29.507701,-95.117218
501,29.785289,-95.706083
502,29.777556,-95.819626
503,29.785085,-95.735683
504,29.812742,-95.410424
505,29.841466,-95.49234
506,29.644402,-95.651689
507,29.616481,-95.192287
508,29.952211,-95.290141
509,29.939307,-95.331521
510,29.807378,-95.455918
511,29.780727,-95.454094
512,29.969658,-94.989099
513,29.785227,-95.246079
514,29.841467,-95.492884
515,30.070537,-95.934189
516,29.563683,-95.025905
517,29.74405,-95.773202
518,29.660878,-95.558058
519,30.108038,-95.435525
520,29.765405,-95.367374
521,29.784459,-95.468022
522,29.799887,-95.016716
523,29.773893,-95.367067
524,29.615934,-95.19178
525,29.661082,-95.557836
526,29.784538,-95.264745
527,29.695658,-95.300339
528,29.698528,-95.45925
529,29.9239,-95.555096
530,30.089416,-95.635831
531,29.936968,-95.516352
532,29.936964,-95.516315
533,30.034782,-95.255909
534,29.644136,-95.576264
535,29.687892,-95.036183
536,29.790925,-95.057054
537,29.58026,-95.38643
538,29.757913,-95.351728
539,29.540976,-95.020209
540,29.636457,-95.029793
541,30.110576,-95.387677
542,30.065748,-95.408273
543,29.81317,-95.352344
544,30.026642,-95.40431
545,29.709702,-95.660479
546,29.723448,-95.492554
